County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition","Population, Education and Child Care Personnel",,,,,,,,,,,,,
Coryell,7,"36,725","22,855","14,183","9,520","60,428","8,040","1,178",610,"22,789","2,014",,,,,,,,,,,,,
Cottle,2/3,0,754,427,374,"1,123",339,5,0,446,0,,,,,,,,,,,,,
Crane,9/10,"3,550","2,056","1,271",805,"3,554",594,71,110,"1,353",0,,,,,,,,,,,,,
Crockett,9/10,0,"1,821","1,025",821,"2,694",612,31,56,"1,031",0,,,,,,,,,,,,,
Crosby,1,"4,050","3,442","1,902","1,590","4,421","1,085",98,115,"1,771",284,,,,,,,,,,,,,
Culberson,9/10,"2,000","1,773",947,832,"1,746",480,67,0,722,0,,,,,,,,,,,,,
Dallam,1,"27,340","4,123","2,424","1,742","5,217",857,40,0,"2,067",0,,,,,,,,,,,,,
Dallas,2/3,"1,844,095","1,583,833","978,521","654,710","2,028,105","292,117","142,713","21,399","730,851","83,452",,,,,,,,,,,,,
Dawson,9/10,"4,500","4,233","2,517","1,866","9,789","1,898",304,112,"4,206",475,,,,,,,,,,,,,
DeWitt,8,"6,700","9,811","5,734","4,648","16,110","4,035",319,438,"6,110","1,055",,,,,,,,,,,,,
Deaf Smith,1,"4,800","7,825","4,710","3,631","13,439","2,423",238,147,"5,332",0,,,,,,,,,,,,,
Delta,4/5N,"1,700","2,131","1,212",989,"4,222","1,118",379,100,"1,580",0,,,,,,,,,,,,,
Denton,2/3,"543,620","610,021","362,505","262,759","697,330","93,499","23,806","5,913","257,836","22,330",,,,,,,,,,,,,
Dickens,1,0,968,550,479,"1,858",525,21,0,689,0,,,,,,,,,,,,,
Dimmit,8,"23,265","7,670","4,422","3,279","7,539","1,749",238,175,"3,179",48,,,,,,,,,,,,,
Donley,1,"1,400","1,697","1,011",733,"2,716",804,27,65,918,0,,,,,,,,,,,,,
Duval,11,"3,500","7,977","4,717","3,673","8,600","2,031",69,150,"3,541",482,,,,,,,,,,,,,
Eastland,2/3,"6,170","8,012","4,802","3,817","14,970","4,054",860,389,"5,393",591,,,,,,,,,,,,,
Ector,9/10,"115,830","77,647","44,010","35,452","120,896","15,970","5,303","1,016","50,679",428,,,,,,,,,,,,,
Edwards,8,0,"1,006",571,451,"1,555",561,24,0,528,0,,,,,,,,,,,,,
El Paso,9/10,"654,840","637,149","399,471","256,291","640,180","105,175","35,065","8,383","245,567","27,330",,,,,,,,,,,,,
Ellis,2/3,"120,930","101,213","61,515","43,434","141,665","24,288","3,985","1,994","54,463","6,578",,,,,,,,,,,,,
Erath,2/3,"24,000","17,762","10,469","7,943","34,875","6,256","1,250",481,"12,564","1,079",,,,,,,,,,,,,
Falls,7,"29,385","7,642","4,676","3,210","14,049","3,226",328,187,"5,671",486,,,,,,,,,,,,,
Fannin,2/3,"36,225","14,584","8,522","6,991","28,874","6,588",962,614,"10,987","1,108",,,,,,,,,,,,,
Fayette,7,"8,600","13,802","8,433","6,496","20,879","6,679",998,647,"6,844",671,,,,,,,,,,,,,
Fisher,2/3,"2,200","1,699",990,819,"3,088",961,101,28,"1,061",0,,,,,,,,,,,,,
Floyd,1,"2,300","3,158","1,772","1,486","4,371","1,070",132,68,"1,723",0,,,,,,,,,,,,,
Foard,2/3,"1,700",714,421,324,962,315,7,80,332,0,,,,,,,,,,,,,
Fort Bend,6/5S,"488,430","626,836","376,040","269,474","616,413","93,851","24,721","4,977","175,581","19,047",,,,,,,,,,,,,
Franklin,4/5N,"3,200","4,305","2,606","1,939","8,554","2,367",169,163,"2,871",0,,,,,,,,,,,,,
Freestone,7,"4,000","7,034","4,362","3,199","15,808","3,996",553,261,"6,319",689,,,,,,,,,,,,,
Frio,8,"13,250","8,625","5,380","3,963","16,121","2,499",186,166,"6,797",28,,,,,,,,,,,,,
Gaines,9/10,"5,100","4,853","2,944","2,258","14,548","1,907",323,95,"6,156",717,,,,,,,,,,,,,
Galveston,6/5S,"292,670","235,662","135,688","104,264","269,280","50,987","11,784","2,830","96,486","10,219",,,,,,,,,,,,,
Garza,1,"3,600","2,330","1,444","1,298","5,325",719,33,75,"2,197",0,,,,,,,,,,,,,
Gillespie,8,"31,200","18,035","10,558","8,001","22,307","8,110","1,175",706,"6,815",681,,,,,,,,,,,,,
Glasscock,9/10,0,928,567,474,"1,099",210,23,0,426,0,,,,,,,,,,,,,
Goliad,8,"2,400","4,021","2,294","1,941","6,281","1,832",39,135,"2,282",0,,,,,,,,,,,,,
Gonzales,8,"11,200","10,796","6,569","5,316","15,937","3,572",550,256,"6,356",693,,,,,,,,,,,,,
Gray,1,"5,200","9,172","5,339","4,225","16,924","3,531",689,315,"6,978",42,,,,,,,,,,,,,
Grayson,2/3,"63,500","62,958","38,566","30,267","107,521","24,182","9,338","2,131","40,586","4,254",,,,,,,,,,,,,
Gregg,4/5N,"120,045","63,148","35,900","28,638","95,544","19,451","7,025","2,324","37,362","3,988",,,,,,,,,,,,,
Grimes,7,"4,300","14,817","9,213","6,334","23,245","5,134",234,311,"9,653",771,,,,,,,,,,,,,
Guadalupe,8,"91,095","85,665","54,387","38,955","130,517","23,614","3,801","1,225","49,282","3,850",,,,,,,,,,,,,
Hale,1,"12,800","14,066","8,259","6,658","25,476","4,604",873,399,"10,561","1,177",,,,,,,,,,,,,
Hall,1,0,"1,740",997,865,"2,406",711,27,72,978,0,,,,,,,,,,,,,
Hamilton,7,"6,100","5,036","3,004","2,504","6,832","2,146",481,296,"2,427",10,,,,,,,,,,,,,
Hansford,1,"3,400","2,831","1,678","1,526","3,987",812,139,84,"1,616",295,,,,,,,,,,,,,
Hardeman,2/3,"3,800","2,332","1,335","1,185","3,190",912,102,16,"1,146",0,,,,,,,,,,,,,
Hardin,6/5S,"11,800","24,224","14,048","10,718","45,112","9,762","1,003",527,"16,190","1,814",,,,,,,,,,,,,
Harris,6/5S,"3,156,680","2,807,565","1,766,090","1,152,698","3,601,939","514,167","225,769","27,623","1,408,024","148,273",,,,,,,,,,,,,
Harrison,4/5N,"16,870","25,887","15,472","12,195","51,900","11,607","3,063",608,"20,509","2,169",,,,,,,,,,,,,
Hartley,1,"1,475","3,100","1,790","1,322","4,561",861,196,94,"1,669",253,,,,,,,,,,,,,
Haskell,2/3,"3,000","3,157","1,843","1,454","4,831","1,266",123,68,"1,872",187,,,,,,,,,,,,,
Hays,7,"164,160","151,649","94,731","64,110","183,380","26,187","5,488","1,907","61,462","6,431",,,,,,,,,,,,,
Hemphill,1,"3,000","2,116","1,256","1,145","2,827",606,104,98,"1,066",0,,,,,,,,,,,,,
Henderson,4/5N,"22,370","35,908","21,454","16,227","67,238","18,534","2,043",998,"26,544","1,787",,,,,,,,,,,,,
Hidalgo,11,"603,890","630,004","386,734","264,577","620,824","98,328","54,962","17,074","286,328","36,161",,,,,,,,,,,,,
Hill,7,"10,200","16,869","10,155","8,047","29,198","7,684",862,523,"11,381","1,209",,,,,,,,,,,,,
Hockley,1,"5,500","11,716","6,799","5,627","17,799","3,453",483,263,"6,829",887,,,,,,,,,,,,,
Hood,2/3,"31,470","39,473","22,148","18,189","50,193","15,416","1,720",867,"16,867",147,,,,,,,,,,,,,
Hopkins,4/5N,"14,810","15,511","9,071","7,081","29,175","6,887","1,192",620,"11,166","1,299",,,,,,,,,,,,,
Houston,4/5N,"6,400","10,309","6,427","4,590","18,929","5,176",634,538,"7,399",631,,,,,,,,,,,,,
Howard,9/10,"7,900","12,218","7,105","5,758","29,544","4,813","1,456",454,"12,143",858,,,,,,,,,,,,,
Hudspeth,9/10,"2,000","3,012","1,757","1,366","3,979",775,33,0,"1,778",145,,,,,,,,,,,,,
Hunt,2/3,"36,870","38,465","23,184","16,739","77,878","15,810","4,112",947,"31,096","2,723",,,,,,,,,,,,,
Hutchinson,1,"4,900","9,122","5,223","4,110","16,258","3,581",504,246,"6,098",741,,,,,,,,,,,,,
Irion,9/10,0,825,462,376,"1,234",328,15,0,429,0,,,,,,,,,,,,,
Jack,2/3,"3,800","3,851","2,272","1,819","7,230","1,515",198,149,"2,732",284,,,,,,,,,,,,,
Jackson,8,"11,060","7,547","4,586","3,224","11,425","2,720",380,237,"4,205",674,,,,,,,,,,,,,
Jasper,4/5N,"15,170","15,036","8,571","7,066","28,056","7,187","1,597",374,"11,687","1,173",,,,,,,,,,,,,
Jeff Davis,9/10,"1,400","1,929","1,066",918,"2,180",812,28,0,685,0,,,,,,,,,,,,,
Jefferson,6/5S,"229,800","123,080","72,792","51,531","197,382","37,595","13,127","2,431","90,120","6,898",,,,,,,,,,,,,
Jim Hogg,11,"1,400","4,176","2,358","1,844","3,791",890,14,60,"1,572",0,,,,,,,,,,,,,
