County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition","Population, Education and Child Care Personnel",,,,,,,,,,,,,
Van Zandt,4/5N,"12,600","21,998","13,229","9,915","45,216","11,495","1,280",711,"16,861","1,783",,,,,,,,,,,,,
Victoria,8,"58,590","48,345","28,582","20,887","71,388","15,242","5,624","1,030","27,119",241,,,,,,,,,,,,,
Walker,6/5S,"34,270","29,409","19,000","12,430","63,471","10,049","1,526",400,"24,628","1,438",,,,,,,,,,,,,
Waller,6/5S,"14,270","22,154","13,758","9,431","43,350","6,546","1,182",466,"16,819","1,813",,,,,,,,,,,,,
Ward,9/10,"4,940","6,284","3,553","3,005","8,921","1,629",137,92,"3,551",0,,,,,,,,,,,,,
Washington,7,"63,100","22,066","12,833","9,707","29,086","7,889","2,581","1,018","10,662",72,,,,,,,,,,,,,
Webb,11,"190,580","220,895","137,214","94,015","196,916","26,921","12,073","1,646","88,397","11,668",,,,,,,,,,,,,
Wharton,6/5S,"18,390","20,408","13,071","8,783","32,110","7,239","1,438",615,"12,933","1,328",,,,,,,,,,,,,
Wheeler,1,"2,900","2,313","1,338","1,158","3,915","1,002",200,114,"1,459",243,,,,,,,,,,,,,
Wichita,2/3,"76,520","62,455","37,219","29,188","105,631","19,854","8,664","2,030","42,031","3,508",,,,,,,,,,,,,
Wilbarger,2/3,"10,600","7,952","4,616","4,125","10,361","2,421",457,304,"4,240",27,,,,,,,,,,,,,
Willacy,11,"7,900","14,382","8,333","6,300","16,897","3,057",325,557,"7,612",775,,,,,,,,,,,,,
Williamson,7,"410,300","418,668","265,385","170,488","458,433","73,202","14,404","4,639","146,388","19,090",,,,,,,,,,,,,
Wilson,8,"23,300","24,425","15,497","10,338","40,488","8,411","1,224",615,"13,986","1,510",,,,,,,,,,,,,
Winkler,9/10,"2,000","3,619","2,103","1,751","5,954",964,102,0,"2,445",0,,,,,,,,,,,,,
Wise,2/3,"29,580","29,284","17,407","13,442","54,722","10,598","3,589",552,"22,459","1,533",,,,,,,,,,,,,
Wood,4/5N,"6,600","22,321","13,284","10,493","38,005","12,527","1,046",880,"13,019","1,130",,,,,,,,,,,,,
Yoakum,1,"3,400","3,915","2,434","1,918","6,135","1,033",225,60,"2,367",0,,,,,,,,,,,,,
Young,2/3,"8,400","8,822","5,111","4,396","14,219","3,774",862,431,"5,296",626,,,,,,,,,,,,,
Zapata,11,"8,100","10,628","6,293","5,151","9,981","1,866",195,202,"4,642",0,,,,,,,,,,,,,
Zavala,8,"2,000","7,597","4,293","3,366","8,840","1,723",25,60,"4,035",458,,,,,,,,,,,,,
Other, ,,"184,036","125,149","67,306",,,,,,,,,,,,,,,,,,,
, ,,,,,,,,,,,,,,,,,,,,,,,
